"CMPCOD","BTCHID","SERNUM","MALSEQNUM","MALIDR","CSGDOCNUM","ACPSCNCAR","POSSCNAPCOD","ACPDAT","LODSCNCARCOD","LODSCNARPCOD","LODSCNDAT","DLVSCNCAR","DLVARPCOD","ACTDLVDAT","ACTWGT","ACTWGTUNT","ACTDSTCOD","ACTORGCOD","CLMTYP","ACTREGCOD","ACTCTRNUM"
"AA","batch_0509","1147","829621","USJFKAGBLALAAUN00534008900040","US70AJF04562","AA","JFK","8/1/2020 16:3","AA","JFK","8/1/2020 19:24","AA","LHR","8/2/2020 10:17","8.8185","LBS","LHR","JFK","MSX","WE","ICAIR192AA"
"AA","batch_0509","1147","829573","USJFKAGBLALAAUN00539044900041","US70AJF04562","AA","JFK","8/1/2020 16:3","AA","JFK","8/1/2020 19:24","AA","LHR","8/2/2020 10:17","9.039","LBS","LHR","JFK","MSX","WE","ICAIR192AA"
"AA","batch_0509","1147","829581","USJFKAGBLALAAUN00539041900030","US70AJF04562","AA","JFK","8/1/2020 16:3","AA","JFK","8/1/2020 19:24","AA","LHR","8/2/2020 10:17","6.6139","LBS","LHR","JFK","MSX","WE","ICAIR192AA"
"AA","batch_0509","1147","829575","USJFKAGBLALAAUN00539040900019","US70AJF04562","AA","JFK","8/1/2020 16:3","AA","JFK","8/1/2020 19:24","AA","LHR","8/2/2020 10:17","4.1888","LBS","LHR","JFK","MSX","WE","ICAIR192AA"
"AA","batch_0509","1147","829560","USJFKAGBLALAAUN00539043900024","US70AJF04562","AA","JFK","8/1/2020 16:3","AA","JFK","8/1/2020 19:24","AA","LHR","8/2/2020 10:17","5.2911","LBS","LHR","JFK","MSX","WE","ICAIR192AA"
"AA","batch_0509","1147","829574","USJFKAGBLALAAUN00539042900025","US70AJF04562","AA","JFK","8/1/2020 16:3","AA","JFK","8/1/2020 19:24","AA","LHR","8/2/2020 10:17","5.5116","LBS","LHR","JFK","MSX","WE","ICAIR192AA"
"AA","batch_0509","1147","824924","USMIAAGBLALAAUD00200001900081","US70AMI01702","AA","MIA","8/1/2020 13:1","AA","MIA","8/1/2020 19:20","AA","LHR","8/2/2020 12:1","17.8574","LBS","LHR","MIA","MSX","WE","ICAIR191AA"
"AA","batch_0509","1147","829570","USJFKAGBLALAAUX00553009900064","US70AJF04562","AA","JFK","8/1/2020 16:3","AA","JFK","8/1/2020 19:24","AA","LHR","8/2/2020 10:17","14.1096","LBS","LHR","JFK","MSX","WE","ICAIR192AA"
"AA","batch_0509","1181","897983","USMADTUSORDTA7M00803003700080","US80MMAD0022","AA","MAD","8/4/2020 13:0","AA","LAX","9/10/2020 17:0","AA","ORD","9/11/2020 11:20","17.637","LBS","ORD","MAD","MSX","WE","ICAIR192AA"
"AA","batch_0509","1203","951614","USORDTUSMADTA7D00803096700011","US80MOR00607","AA","ORD","8/4/2020 9:6","AA","ORD","8/4/2020 6:56","AA","MAD","8/6/2020 10:21","2.4251","LBS","MAD","ORD","MSX","WE","ICAIR191AA"
"AA","batch_0509","1125","847320","USJFKAAWAUAAAUN00080001900112","US70AMI01687","AA","MIA","8/2/2020 3:41","AA","MIA","8/2/2020 6:5","AA","AUA","8/3/2020 8:30","24.6918","LBS","AUA","MIA","NPR","LA","ICAIR191AA"
"AA","batch_0509","1125","868422","USMIAAGBCVTAACN01241001900127","US80AMI00075","AA","MIA","8/2/2020 14:49","AA","MIA","8/2/2020 19:12","AA","LHR","8/3/2020 9:28","27.9987","LBS","LHR","MIA","NPR","WE","ICAIR191AA"
"AA","batch_0509","1125","893275","USLAXAMXMEXDAUN00431001900083","","AA","LAX","8/3/2020 3:23","AA","LAX","8/3/2020 8:50","AA","MEX","8/4/2020 15:37","18.2984","LBS","MEX","LAX","NPR","TB",""
"AA","batch_0509","1125","885173","USJFKALCSLUAACN00165001900196","US80AMI00098","AA","MIA","8/3/2020 5:15","AA","MIA","8/3/2020 10:30","AA","UVF","8/3/2020 14:31","43.2106","LBS","UVF","MIA","NPR","LA","ICAIR191AA"
"AA","batch_0509","1181","897987","USMADTUSORDTA7D00803025700086","US80MMAD0022","AA","MAD","8/4/2020 13:0","AA","LAX","9/10/2020 17:0","AA","ORD","9/11/2020 11:20","18.9598","LBS","ORD","MAD","MSX","WE","ICAIR192AA"
"AA","batch_0509","1147","829594","USJFKAGBLALAAUN00539014900068","US70AJF04562","AA","JFK","8/1/2020 16:3","AA","JFK","8/1/2020 19:24","AA","LHR","8/2/2020 10:17","14.9914","LBS","LHR","JFK","MSX","WE","ICAIR192AA"
"AA","batch_0509","1147","829499","USJFKAGBLALAAUX00553038900064","US70AJF04562","AA","JFK","8/1/2020 16:3","AA","JFK","8/1/2020 19:24","AA","LHR","8/2/2020 10:17","14.1096","LBS","LHR","JFK","MSX","WE","ICAIR192AA"
"AA","batch_0509","1147","829467","USJFKAGBLALAAUX00553047900055","US70AJF04562","AA","JFK","8/1/2020 16:3","AA","JFK","8/1/2020 19:24","AA","LHR","8/2/2020 10:17","12.1254","LBS","LHR","JFK","MSX","WE","ICAIR192AA"
"AA","batch_0509","1147","829469","USJFKAGBLALAAUX00553046900077","US70AJF04562","AA","JFK","8/1/2020 16:3","AA","JFK","8/1/2020 19:24","AA","LHR","8/2/2020 10:17","16.9756","LBS","LHR","JFK","MSX","WE","ICAIR192AA"
"AA","batch_0509","1147","829497","USJFKAGBLALAAUX00553039900058","US70AJF04562","AA","JFK","8/1/2020 16:3","AA","JFK","8/1/2020 19:24","AA","LHR","8/2/2020 10:17","12.7868","LBS","LHR","JFK","MSX","WE","ICAIR192AA"
"AA","batch_0509","1147","829463","USJFKAGBLALAAUX00553051900084","US70AJF04562","AA","JFK","8/1/2020 16:3","AA","JFK","8/1/2020 19:24","AA","LHR","8/2/2020 10:17","18.5188","LBS","LHR","JFK","MSX","WE","ICAIR192AA"
"AA","batch_0509","1147","829449","USJFKAGBLALAAUX00553053900032","US70AJF04562","AA","JFK","8/1/2020 16:3","AA","JFK","8/1/2020 19:24","AA","LHR","8/2/2020 10:17","7.0548","LBS","LHR","JFK","MSX","WE","ICAIR192AA"
"AA","batch_0509","1147","829464","USJFKAGBLALAAUX00553050900049","US70AJF04562","AA","JFK","8/1/2020 16:3","AA","JFK","8/1/2020 19:24","AA","LHR","8/2/2020 10:17","10.8027","LBS","LHR","JFK","MSX","WE","ICAIR192AA"
"AA","batch_0509","1147","829502","USJFKAGBLALAAUX00553036900045","US70AJF04562","AA","JFK","8/1/2020 16:3","AA","JFK","8/1/2020 19:24","AA","LHR","8/2/2020 10:17","9.9208","LBS","LHR","JFK","MSX","WE","ICAIR192AA"
"AA","batch_0509","1147","829488","USJFKAGBLALAAUX00553043900057","US70AJF04562","AA","JFK","8/1/2020 16:3","AA","JFK","8/1/2020 19:24","AA","LHR","8/2/2020 10:17","12.5663","LBS","LHR","JFK","MSX","WE","ICAIR192AA"
"AA","batch_0509","1147","829608","USJFKAGBLALAAUN00539015900062","US70AJF04562","AA","JFK","8/1/2020 16:3","AA","JFK","8/1/2020 19:24","AA","LHR","8/2/2020 10:17","13.6687","LBS","LHR","JFK","MSX","WE","ICAIR192AA"
"AA","batch_0509","1147","829487","USJFKAGBLALAAUX00553044900043","US70AJF04562","AA","JFK","8/1/2020 16:3","AA","JFK","8/1/2020 19:24","AA","LHR","8/2/2020 10:17","9.4799","LBS","LHR","JFK","MSX","WE","ICAIR192AA"
"AA","batch_0509","1147","829506","USJFKAGBLALAAUX00553033900068","US70AJF04562","AA","JFK","8/1/2020 16:3","AA","JFK","8/1/2020 19:24","AA","LHR","8/2/2020 10:17","14.9914","LBS","LHR","JFK","MSX","WE","ICAIR192AA"
"AA","batch_0509","1147","829583","USJFKAGBLALAAUN00539037900049","US70AJF04562","AA","JFK","8/1/2020 16:3","AA","JFK","8/1/2020 19:24","AA","LHR","8/2/2020 10:17","10.8027","LBS","LHR","JFK","MSX","WE","ICAIR192AA"
"AA","batch_0509","1147","829503","USJFKAGBLALAAUX00553035900047","US70AJF04562","AA","JFK","8/1/2020 16:3","AA","JFK","8/1/2020 19:24","AA","LHR","8/2/2020 10:17","10.3617","LBS","LHR","JFK","MSX","WE","ICAIR192AA"
"AA","batch_0509","1147","829465","USJFKAGBLALAAUX00553048900056","US70AJF04562","AA","JFK","8/1/2020 16:3","AA","JFK","8/1/2020 19:24","AA","LHR","8/2/2020 10:17","12.3459","LBS","LHR","JFK","MSX","WE","ICAIR192AA"
"AA","batch_0509","1147","829451","USJFKAGBLALAAUX00553052900055","US70AJF04562","AA","JFK","8/1/2020 16:3","AA","JFK","8/1/2020 19:24","AA","LHR","8/2/2020 10:17","12.1254","LBS","LHR","JFK","MSX","WE","ICAIR192AA"
"AA","batch_0509","1147","829492","USJFKAGBLALAAUX00553041900047","US70AJF04562","AA","JFK","8/1/2020 16:3","AA","JFK","8/1/2020 19:24","AA","LHR","8/2/2020 10:17","10.3617","LBS","LHR","JFK","MSX","WE","ICAIR192AA"
"AA","batch_0509","1147","829446","USJFKAGBLALAAUX00553056900043","US70AJF04562","AA","JFK","8/1/2020 16:3","AA","JFK","8/1/2020 19:24","AA","LHR","8/2/2020 10:17","9.4799","LBS","LHR","JFK","MSX","WE","ICAIR192AA"
"AA","batch_0509","1147","829494","USJFKAGBLALAAUX00553040900066","US70AJF04562","AA","JFK","8/1/2020 16:3","AA","JFK","8/1/2020 19:24","AA","LHR","8/2/2020 10:17","14.5505","LBS","LHR","JFK","MSX","WE","ICAIR192AA"
"AA","batch_0509","1147","829609","USJFKAGBLALAAUN00539013900031","US70AJF04562","AA","JFK","8/1/2020 16:3","AA","JFK","8/1/2020 19:24","AA","LHR","8/2/2020 10:17","6.8343","LBS","LHR","JFK","MSX","WE","ICAIR192AA"
"AA","batch_0509","1147","829530","USJFKAGBLALAAUX00553030900099","US70AJF04562","AA","JFK","8/1/2020 16:3","AA","JFK","8/1/2020 19:24","AA","LHR","8/2/2020 10:17","21.8258","LBS","LHR","JFK","MSX","WE","ICAIR192AA"
"AA","batch_0509","1147","829461","USJFKAGBLALAAUX00553054900024","US70AJF04562","AA","JFK","8/1/2020 16:3","AA","JFK","8/1/2020 19:24","AA","LHR","8/2/2020 10:17","5.2911","LBS","LHR","JFK","MSX","WE","ICAIR192AA"
"AA","batch_0509","1147","829439","USJFKAGBLALAAUX00553055900067","US70AJF04562","AA","JFK","8/1/2020 16:3","AA","JFK","8/1/2020 19:24","AA","LHR","8/2/2020 10:17","14.771","LBS","LHR","JFK","MSX","WE","ICAIR192AA"
"AA","batch_0509","1147","829480","USJFKAGBLALAAUX00553037900083","US70AJF04562","AA","JFK","8/1/2020 16:3","AA","JFK","8/1/2020 19:24","AA","LHR","8/2/2020 10:17","18.2984","LBS","LHR","JFK","MSX","WE","ICAIR192AA"
